date,macro_regime,fear_score,bear_score,bull_score,vix,skew,gex_b,vix_term_structure,macro_news_summary,macro_news_sentiment,top_opportunity,top_opportunity_score,top_opportunity_reason,avoid_names,overall_signal,ai_brief,voo_vgt_action
2026-06-16,negative_gex,2.0,2.0,4.0,16.41,142.66,-3.8,contango,"ETF vs. Mutual Fund: Which Is Better for Your Money in 2026?; Dow Hits Record High On Strong Banks And Industrial Stocks, Nasdaq And S&amp;P 500 Slip On Tech Weakness — SPCX, YUM, HOOD, RIVN, AAPL, SN",macro_fear,,0,,"AMZN,AAPL,NVDA",HOLD,"MACRO PICTURE: SPY GEX is negative at $-3.8B — dealers are short gamma. Market regime is unstable but not in free-fall. VIX is 16.4 (calm, rising trend over 5 days). Term structure in contango — calm, orderly vol curve. SKEW at 143 is elevated — smart money is actively buying tail protection. Not panic, but meaningful hedging activity. GEX has been negative 8 of the last 10 days — this is a prolonged negative regime, not a one-day event. Market headlines are dominated by macro fear themes (Fed, inflation, geopolitical) — this is broad market anxiety, not company-specific deterioration.

VOO/VGT ACTION: HOLD — No strong signal today. Market is in a mixed regime. Hold existing VOO/VGT positions. Wait for fear score to reach 6+ or bull score to confirm.

MAG 7 OPPORTUNITIES: AMZN AVOID — company-specific negative news detected: 'Market Chatter: Amazon.com Faces Potential FTC Ad Practices ...' Do not buy this dip until news clears. AAPL AVOID — company-specific negative news detected: 'Apple (AAPL) Faces Italy DMA Probe Over Cloud Interoperabili...' Do not buy this dip until news clears. NVDA AVOID — company-specific negative news detected: 'Stock Market Today, June 16: Nvidia, Broadcom, and Micron Te...' Do not buy this dip until news clears.

WATCH FOR: VIX pushing above 22-25 (currently 16.4, needs +5.6 pts) with GEX remaining negative would trigger a high-conviction buy zone. GEX flipping positive would confirm dealer stabilization — that's the technical all-clear for loading.

OVERALL SIGNAL: HOLD",HOLD — No strong signal today. Market is in a mixed regime. Hold existing VOO/VGT positions. Wait for fear score to reach 6+ or bull score to confirm.
2026-06-18,negative_gex,3.0,4.0,2.0,18.44,142.62,-9.8,contango,"Kevin Warsh Comments Send Shiver Down Investors’ Spines. Would He Really ‘Murder This Bull Market?’; The VIX Isn’t Broken, It’s Just Being Outplayed; Trump Says Markets Are ‘Loving What Is Happening’ ",macro_fear,AAPL,6.0,"RSI extremely oversold (bottom 5% of own history) | Options moderately priced (IV 28th pct) | GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable","AMZN,TSLA,GOOGL",HOLD,"MACRO PICTURE: SPY GEX is deeply negative at $-9.8B — dealers are net short gamma and amplifying moves in both directions. The market is in an unstable, high-energy state. VIX is 18.4 (moderately elevated, stable trend over 5 days). Term structure in contango — calm, orderly vol curve. SKEW at 143 is elevated — smart money is actively buying tail protection. Not panic, but meaningful hedging activity. GEX has been negative 9 of the last 10 days — this is a prolonged negative regime, not a one-day event. Market headlines are dominated by macro fear themes (Fed, inflation, geopolitical) — this is broad market anxiety, not company-specific deterioration.

VOO/VGT ACTION: HOLD — No strong signal today. Market is in a mixed regime. Hold existing VOO/VGT positions. Wait for fear score to reach 6+ or bull score to confirm.

MAG 7 OPPORTUNITIES: AAPL OPPORTUNITY (high confidence) — RSI at 5th percentile of own history, 7 of last 10 days oversold, macro-driven selloff. Score 6/10. Below 200MA — scale in slowly. NVDA WATCH — score 5/10, RSI at 23th pct. Not yet at peak oversold but building. AMZN AVOID — company-specific negative news detected: 'Waymo Has a Tesla-Like Recall. What It Means for Alphabet St...' Do not buy this dip until news clears. TSLA AVOID — company-specific negative news detected: 'Waymo Has a Tesla-Like Recall. What It Means for Alphabet St...' Do not buy this dip until news clears.

WATCH FOR: VIX pushing above 22-25 (currently 18.4, needs +3.6 pts) with GEX remaining negative would trigger a high-conviction buy zone. GEX flipping positive would confirm dealer stabilization — that's the technical all-clear for loading.

OVERALL SIGNAL: HOLD",HOLD — No strong signal today. Market is in a mixed regime. Hold existing VOO/VGT positions. Wait for fear score to reach 6+ or bull score to confirm.
2026-06-19,negative_gex,3.0,4.0,3.0,16.4,146.72,-3.1,contango,A Median Earner Needs $803 Monthly for 30 Years to Hit $1 Million. Most Don’t Make It.; Famous Wall Street Tech Analyst Names Meta and Amazon the Best Magnificent 7 Stock Buys Today; Why JEPI Investor,macro_fear,AAPL,6.0,"RSI extremely oversold (bottom 7% of own history) | Options moderately priced (IV 28th pct) | GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable",,HOLD,"MACRO PICTURE: SPY GEX is negative at $-3.1B — dealers are short gamma. Market regime is unstable but not in free-fall. VIX is 16.4 (calm, falling trend over 5 days). Term structure in contango — calm, orderly vol curve. SKEW at 147 is extreme — large institutions are paying a significant premium for deep OTM puts. This level historically precedes a sharp move within 2-4 weeks. GEX has been negative 9 of the last 10 days — this is a prolonged negative regime, not a one-day event. Market headlines are dominated by macro fear themes (Fed, inflation, geopolitical) — this is broad market anxiety, not company-specific deterioration.

VOO/VGT ACTION: HOLD — No strong signal today. Market is in a mixed regime. Hold existing VOO/VGT positions. Wait for fear score to reach 6+ or bull score to confirm.

MAG 7 OPPORTUNITIES: AAPL OPPORTUNITY (high confidence) — RSI at 7th percentile of own history, 8 of last 10 days oversold, macro-driven selloff. Score 6/10. Below 200MA — scale in slowly. MSFT OPPORTUNITY (high confidence) — RSI at 4th percentile of own history, 4 of last 10 days oversold, macro-driven selloff. Score 4/10. Below 200MA — scale in slowly. NVDA WATCH — score 4/10, RSI at 35th pct. Not yet at peak oversold but building. AMZN OPPORTUNITY (moderate confidence) — RSI at 10th percentile of own history, 10 of last 10 days oversold, mixed drivers. Score 4/10. Below 200MA — scale in slowly.

WATCH FOR: VIX pushing above 22-25 (currently 16.4, needs +5.6 pts) with GEX remaining negative would trigger a high-conviction buy zone. GEX flipping positive would confirm dealer stabilization — that's the technical all-clear for loading.

OVERALL SIGNAL: HOLD",HOLD — No strong signal today. Market is in a mixed regime. Hold existing VOO/VGT positions. Wait for fear score to reach 6+ or bull score to confirm.
2026-06-22,mixed,3.0,3.0,3.0,16.78,146.72,-1.4,contango,"Index Options Are Now Cheap; Here's How To Buy Insurance Using The S&amp;P 500 Tracking Fund SPY; JPMorgan: 2026 rally entirely earnings-driven, bull case targets 8900 by year-end; Had You Invested $1",macro_fear,AAPL,6.0,"RSI extremely oversold (bottom 9% of own history) | Options moderately priced (IV 28th pct) | GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable",TSLA,HOLD,"MACRO PICTURE: SPY GEX is negative at $-1.4B — dealers are short gamma. Market regime is unstable but not in free-fall. VIX is 16.8 (calm, falling trend over 5 days). Term structure in contango — calm, orderly vol curve. SKEW at 147 is extreme — large institutions are paying a significant premium for deep OTM puts. This level historically precedes a sharp move within 2-4 weeks. GEX has been negative 9 of the last 10 days — this is a prolonged negative regime, not a one-day event. Market headlines are dominated by macro fear themes (Fed, inflation, geopolitical) — this is broad market anxiety, not company-specific deterioration.

VOO/VGT ACTION: HOLD — No strong signal today. Market is in a mixed regime. Hold existing VOO/VGT positions. Wait for fear score to reach 6+ or bull score to confirm.

MAG 7 OPPORTUNITIES: AAPL OPPORTUNITY (high confidence) — RSI at 9th percentile of own history, 9 of last 10 days oversold, macro-driven selloff. Score 6/10. Below 200MA — scale in slowly. MSFT OPPORTUNITY (high confidence) — RSI at 5th percentile of own history, 5 of last 10 days oversold, macro-driven selloff. Score 4/10. Below 200MA — scale in slowly. NVDA WATCH — score 4/10, RSI at 36th pct. Not yet at peak oversold but building. AMZN OPPORTUNITY (moderate confidence) — RSI at 12th percentile of own history, 10 of last 10 days oversold, macro-driven selloff. Score 4/10. Below 200MA — scale in slowly.

WATCH FOR: VIX pushing above 22-25 (currently 16.8, needs +5.2 pts) with GEX remaining negative would trigger a high-conviction buy zone. GEX flipping positive would confirm dealer stabilization — that's the technical all-clear for loading.

OVERALL SIGNAL: HOLD",HOLD — No strong signal today. Market is in a mixed regime. Hold existing VOO/VGT positions. Wait for fear score to reach 6+ or bull score to confirm.
2026-06-23,negative_gex,3.0,4.0,3.0,17.28,141.85,-7.5,contango,"The SpaceX ETF Halted Mere Hours After the Biggest IPO Ever; Why Retirees With Over $1 Million Should Hold a 5-Year Cash and Bond Ladder Instead of Cashing Out for Yield; The $24,500 Trap: Why Most Am",macro_fear,NVDA,8.0,"RSI very oversold (bottom 10% of own history) | Options cheap (IV bottom 14% of own history) — good entry cost | Heavy put buying (P/C top 20% of history) — extreme fear, contrarian buy | GEX positive","MSFT,META",HOLD,"MACRO PICTURE: SPY GEX is deeply negative at $-7.5B — dealers are net short gamma and amplifying moves in both directions. The market is in an unstable, high-energy state. VIX is 17.3 (calm, falling trend over 5 days). Term structure in contango — calm, orderly vol curve. SKEW at 142 is elevated — smart money is actively buying tail protection. Not panic, but meaningful hedging activity. GEX has been negative 9 of the last 10 days — this is a prolonged negative regime, not a one-day event. Market headlines are dominated by macro fear themes (Fed, inflation, geopolitical) — this is broad market anxiety, not company-specific deterioration.

VOO/VGT ACTION: HOLD — No strong signal today. Market is in a mixed regime. Hold existing VOO/VGT positions. Wait for fear score to reach 6+ or bull score to confirm.

MAG 7 OPPORTUNITIES: NVDA OPPORTUNITY (moderate confidence) — RSI at 10th percentile of own history, 7 of last 10 days oversold, macro-driven selloff. Score 8/10. Below 200MA — scale in slowly. AAPL OPPORTUNITY (moderate confidence) — RSI at 19th percentile of own history, 10 of last 10 days oversold, mixed drivers. Score 7/10. Below 200MA — scale in slowly. MSFT AVOID — company-specific negative news detected: 'Oracle Stock Falls As Annual Filing Reveals 21,000 Jobs Cut,...' Do not buy this dip until news clears. TSLA WATCH — score 4/10, RSI at 41th pct. Not yet at peak oversold but building.

WATCH FOR: VIX pushing above 22-25 (currently 17.3, needs +4.7 pts) with GEX remaining negative would trigger a high-conviction buy zone. GEX flipping positive would confirm dealer stabilization — that's the technical all-clear for loading.

OVERALL SIGNAL: HOLD",HOLD — No strong signal today. Market is in a mixed regime. Hold existing VOO/VGT positions. Wait for fear score to reach 6+ or bull score to confirm.
2026-06-24,bear_warning,4.0,5.0,2.0,19.49,143.14,-12.8,contango,1 High-Yielding Industrial Juggernaut to Buy and Never Sell; ‘He Learned the Wrong Lesson’: Why the SpaceX IPO Windfall Is a Trap for Everyday Investors; Wells Fargo’s Scott Wren to Retail Investors: ,macro_fear,NVDA,7.0,"RSI extremely oversold (bottom 7% of own history) | Options cheap (IV bottom 14% of own history) — good entry cost | GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buy",,WATCH,"MACRO PICTURE: SPY GEX is deeply negative at $-12.8B — dealers are net short gamma and amplifying moves in both directions. The market is in an unstable, high-energy state. VIX is 19.5 (moderately elevated, stable trend over 5 days). Term structure in contango — calm, orderly vol curve. SKEW at 143 is elevated — smart money is actively buying tail protection. Not panic, but meaningful hedging activity. GEX has been negative 9 of the last 10 days — this is a prolonged negative regime, not a one-day event. Market headlines are dominated by macro fear themes (Fed, inflation, geopolitical) — this is broad market anxiety, not company-specific deterioration.

VOO/VGT ACTION: WATCH — GEX negative with VIX at 19.5. Mixed signals. Hold current positions, do not add aggressively. Watch for VIX to push above 22-25 as the real loading zone.

MAG 7 OPPORTUNITIES: NVDA OPPORTUNITY (high confidence) — RSI at 7th percentile of own history, 7 of last 10 days oversold, macro-driven selloff. Score 7/10. Below 200MA — scale in slowly. AAPL OPPORTUNITY (high confidence) — RSI at 3th percentile of own history, 10 of last 10 days oversold, macro-driven selloff. Score 6/10. Below 200MA — scale in slowly. TSLA OPPORTUNITY (moderate confidence) — RSI at 12th percentile of own history, 7 of last 10 days oversold, mixed drivers. Score 6/10. Below 200MA — scale in slowly. MSFT OPPORTUNITY (high confidence) — RSI at 5th percentile of own history, 7 of last 10 days oversold, macro-driven selloff. Score 4/10. Below 200MA — scale in slowly.

WATCH FOR: VIX pushing above 22-25 (currently 19.5, needs +2.5 pts) with GEX remaining negative would trigger a high-conviction buy zone. GEX flipping positive would confirm dealer stabilization — that's the technical all-clear for loading.

OVERALL SIGNAL: WATCH","WATCH — GEX negative with VIX at 19.5. Mixed signals. Hold current positions, do not add aggressively. Watch for VIX to push above 22-25 as the real loading zone."
2026-06-25,bear_warning,4.0,5.0,2.0,18.63,145.3,-7.1,contango,"Own 100 Shares of SPY? Here’s How to Earn High Income Selling Covered Calls; If You Bought the S&amp;P 500 the Day Trump Won, Here’s Exactly What $10,000 Is Worth Today; IMF says US economy shows soli",macro_fear,AAPL,8.0,"RSI extremely oversold (bottom 5% of own history) | Options moderately priced (IV 28th pct) | Heavy put buying (P/C top 0% of history) — extreme fear, contrarian buy | GEX positive — dealers providing","NVDA,TSLA",HOLD,"MACRO PICTURE: SPY GEX is deeply negative at $-7.1B — dealers are net short gamma and amplifying moves in both directions. The market is in an unstable, high-energy state. VIX is 18.6 (moderately elevated, falling trend over 5 days). Term structure in contango — calm, orderly vol curve. SKEW at 145 is extreme — large institutions are paying a significant premium for deep OTM puts. This level historically precedes a sharp move within 2-4 weeks. GEX has been negative 9 of the last 10 days — this is a prolonged negative regime, not a one-day event. Market headlines are dominated by macro fear themes (Fed, inflation, geopolitical) — this is broad market anxiety, not company-specific deterioration.

VOO/VGT ACTION: HOLD — No strong signal today. Market is in a mixed regime. Hold existing VOO/VGT positions. Wait for fear score to reach 6+ or bull score to confirm.

MAG 7 OPPORTUNITIES: AAPL OPPORTUNITY (high confidence) — RSI at 5th percentile of own history, 10 of last 10 days oversold, macro-driven selloff. Score 8/10. Below 200MA — scale in slowly. NVDA AVOID — company-specific negative news detected: 'Why Barnes &amp; Noble Education Stock Jumped 20% Today...' Do not buy this dip until news clears. TSLA AVOID — company-specific negative news detected: 'Tesla faces lawsuit from family of victim killed in Texas ho...' Do not buy this dip until news clears. MSFT OPPORTUNITY (high confidence) — RSI at 7th percentile of own history, 8 of last 10 days oversold, macro-driven selloff. Score 4/10. Below 200MA — scale in slowly.

WATCH FOR: VIX pushing above 22-25 (currently 18.6, needs +3.4 pts) with GEX remaining negative would trigger a high-conviction buy zone. GEX flipping positive would confirm dealer stabilization — that's the technical all-clear for loading.

OVERALL SIGNAL: HOLD",HOLD — No strong signal today. Market is in a mixed regime. Hold existing VOO/VGT positions. Wait for fear score to reach 6+ or bull score to confirm.
2026-06-26,negative_gex,3.0,4.0,2.0,18.89,139.89,-9.8,contango,"VOO Became the First ETF to Hit $1 Trillion, but Nearly 40% of It Is Now Tech; The “BALI” Bull Run: Is BlackRock’s 7.7% Yield Strategy Too Good to Be True?; This Strategist Thinks the S&amp;P 500 Coul",company_positive,NVDA,8.0,RSI extremely oversold (bottom 3% of own history) | Options cheap (IV bottom 14% of own history) — good entry cost | Elevated put buying (P/C 62th pct) | GEX positive — dealers providing support | Abo,,HOLD,"MACRO PICTURE: SPY GEX is deeply negative at $-9.8B — dealers are net short gamma and amplifying moves in both directions. The market is in an unstable, high-energy state. VIX is 18.9 (moderately elevated, stable trend over 5 days). Term structure in contango — calm, orderly vol curve. SKEW at 140 is elevated — smart money is actively buying tail protection. Not panic, but meaningful hedging activity. GEX has been negative 9 of the last 10 days — this is a prolonged negative regime, not a one-day event. No dominant negative news theme today — market moves appear technical rather than news-driven.

VOO/VGT ACTION: HOLD — No strong signal today. Market is in a mixed regime. Hold existing VOO/VGT positions. Wait for fear score to reach 6+ or bull score to confirm.

MAG 7 OPPORTUNITIES: NVDA OPPORTUNITY (high confidence) — RSI at 3th percentile of own history, 7 of last 10 days oversold, macro-driven selloff. Score 8/10. Below 200MA — scale in slowly. AAPL OPPORTUNITY (high confidence) — RSI at 2th percentile of own history, 10 of last 10 days oversold, macro-driven selloff. Score 6/10. Below 200MA — scale in slowly. MSFT OPPORTUNITY (high confidence) — RSI at 5th percentile of own history, 8 of last 10 days oversold, macro-driven selloff. Score 5/10. Below 200MA — scale in slowly. GOOGL OPPORTUNITY (moderate confidence) — RSI at 13th percentile of own history, 6 of last 10 days oversold, macro-driven selloff. Score 4/10. Below 200MA — scale in slowly.

WATCH FOR: VIX pushing above 22-25 (currently 18.9, needs +3.1 pts) with GEX remaining negative would trigger a high-conviction buy zone. GEX flipping positive would confirm dealer stabilization — that's the technical all-clear for loading.

OVERALL SIGNAL: HOLD",HOLD — No strong signal today. Market is in a mixed regime. Hold existing VOO/VGT positions. Wait for fear score to reach 6+ or bull score to confirm.
2026-06-29,bear_warning,4.0,5.0,2.0,18.41,139.4,-11.8,contango,The Tool Giving Independent Advisors an Edge Over Big Banks; Wall Street Has Entirely Abandoned This Absolute $11 Billion Dividend King—Here Is the 1 Aggressive Bargain I Am Accumulating on Repeat; 3 ,company_positive,AAPL,8.0,"RSI extremely oversold (bottom 8% of own history) | Options moderately priced (IV 28th pct) | Heavy put buying (P/C top 11% of history) — extreme fear, contrarian buy | GEX positive — dealers providin",NVDA,HOLD,"MACRO PICTURE: SPY GEX is deeply negative at $-11.8B — dealers are net short gamma and amplifying moves in both directions. The market is in an unstable, high-energy state. VIX is 18.4 (moderately elevated, stable trend over 5 days). Term structure in contango — calm, orderly vol curve. SKEW at 139 is elevated — smart money is actively buying tail protection. Not panic, but meaningful hedging activity. GEX has been negative 9 of the last 10 days — this is a prolonged negative regime, not a one-day event. No dominant negative news theme today — market moves appear technical rather than news-driven.

VOO/VGT ACTION: HOLD — No strong signal today. Market is in a mixed regime. Hold existing VOO/VGT positions. Wait for fear score to reach 6+ or bull score to confirm.

MAG 7 OPPORTUNITIES: AAPL OPPORTUNITY (high confidence) — RSI at 8th percentile of own history, 10 of last 10 days oversold, macro-driven selloff. Score 8/10. Below 200MA — scale in slowly. NVDA AVOID — company-specific negative news detected: 'Supermicro (SMCI) Faces Taiwan Raids In Nvidia Chip Smugglin...' Do not buy this dip until news clears. GOOGL OPPORTUNITY (high confidence) — RSI at 8th percentile of own history, 6 of last 10 days oversold, macro-driven selloff. Score 5/10. Below 200MA — scale in slowly. MSFT OPPORTUNITY (moderate confidence) — RSI at 19th percentile of own history, 8 of last 10 days oversold, macro-driven selloff. Score 4/10. Below 200MA — scale in slowly.

WATCH FOR: VIX pushing above 22-25 (currently 18.4, needs +3.6 pts) with GEX remaining negative would trigger a high-conviction buy zone. GEX flipping positive would confirm dealer stabilization — that's the technical all-clear for loading.

OVERALL SIGNAL: HOLD",HOLD — No strong signal today. Market is in a mixed regime. Hold existing VOO/VGT positions. Wait for fear score to reach 6+ or bull score to confirm.
2026-06-30,mixed,1.0,1.0,5.0,17.65,144.46,0.1154,contango,"Exchange-Traded Funds Mixed, Equity Futures Lower Pre-Bell Ahead of Key Economic Reports; S&amp;P 500, Nasdaq, Dow Futures Retreat Ahead Of High-Stakes US-Iran Talks: SLS, QS, NKE, JACK In Focus; S&am",company_positive,AAPL,6.0,"RSI very oversold (bottom 11% of own history) | Heavy put buying (P/C top 0% of history) — extreme fear, contrarian buy | GEX positive — dealers providing support | Above 200MA — uptrend intact, dip i",NVDA,HOLD,"MACRO PICTURE: SPY GEX is positive at +$0.1B — dealers are providing a cushion on dips. Bullish but not peak suppression. VIX is 17.6 (calm, stable trend over 5 days). Term structure in contango — calm, orderly vol curve. SKEW at 144 is elevated — smart money is actively buying tail protection. Not panic, but meaningful hedging activity. GEX has been negative 9 of the last 10 days — this is a prolonged negative regime, not a one-day event. No dominant negative news theme today — market moves appear technical rather than news-driven.

VOO/VGT ACTION: HOLD — No strong signal today. Market is in a mixed regime. Hold existing VOO/VGT positions. Wait for fear score to reach 6+ or bull score to confirm.

MAG 7 OPPORTUNITIES: NVDA AVOID — company-specific negative news detected: 'Why The Trade Desk Stock Tumbled on Tuesday...' Do not buy this dip until news clears. AAPL OPPORTUNITY (moderate confidence) — RSI at 11th percentile of own history, 10 of last 10 days oversold, macro-driven selloff. Score 6/10. Below 200MA — scale in slowly. MSFT WATCH — score 4/10, RSI at 20th pct. Not yet at peak oversold but building.

WATCH FOR: VIX pushing above 22-25 (currently 17.6, needs +4.4 pts) with GEX remaining negative would trigger a high-conviction buy zone. SKEW dropping back below 130 would signal institutional tail hedging is unwinding — a sign the fear peak is passing.

OVERALL SIGNAL: HOLD",HOLD — No strong signal today. Market is in a mixed regime. Hold existing VOO/VGT positions. Wait for fear score to reach 6+ or bull score to confirm.
